id,fecha,producto,cantidad,precio
1,2026-01-01,Placa Madre,2,1500
2,2026-01-02,MemoriaSSD,5,25
3,2026-01-03,Teclado,3,45
4,2026-01-04,Monitor,1,300
5,2026-01-05,Mause,4,80
6,2026-01-06,Placa Madre,3,1500
7,2026-01-07,MemoriaSSD,6,25
8,2026-01-08,Teclado,2,45
9,2026-01-09,Monitor,2,300
10,2026-01-10,Mause,5,80
11,2026-01-11,Placa Madre,1,1500
12,2026-01-12,MemoriaSSD,4,25
13,2026-01-13,Teclado,3,45
14,2026-01-14,Monitor,1,300
15,2026-01-15,Mause,3,80
16,2026-01-16,Placa Madre,2,1500
17,2026-01-17,MemoriaSSD,5,25
18,2026-01-18,Teclado,4,45
19,2026-01-19,Monitor,2,300
20,2026-01-20,Mause,6,80
21,2026-01-21,Placa Madre,3,1500
22,2026-01-22,MemoriaSSD,3,25
23,2026-01-23,Teclado,2,45
24,2026-01-24,Monitor,1,300
25,2026-01-25,Mause,4,80
26,2026-01-26,Placa Madre,2,1500
27,2026-01-27,MemoriaSSD,7,25
28,2026-01-28,Teclado,3,45
29,2026-01-29,Monitor,2,300
30,2026-01-30,Mause,5,80
